dateID,calendar_date,day_of_week_id,holiday_flg
1,1-1-2016,5,1
2,2-1-2016,6,1
3,3-1-2016,7,1
4,4-1-2016,1,0
5,5-1-2016,2,0
6,6-1-2016,3,0
7,7-1-2016,4,0
8,8-1-2016,5,0
9,9-1-2016,6,0
10,10-1-2016,7,0
11,11-1-2016,1,1
12,12-1-2016,2,0
13,13-1-2016,3,0
14,14-1-2016,4,0
15,15-1-2016,5,0
16,16-1-2016,6,0
17,17-1-2016,7,0
18,18-1-2016,1,0
19,19-1-2016,2,0
20,20-1-2016,3,0
21,21-1-2016,4,0
22,22-1-2016,5,0
23,23-1-2016,6,0
24,24-1-2016,7,0
25,25-1-2016,1,0
26,26-1-2016,2,0
27,27-1-2016,3,0
28,28-1-2016,4,0
29,29-1-2016,5,0
30,30-1-2016,6,0
31,31-1-2016,7,0
32,1-2-2016,1,0
33,2-2-2016,2,0
34,3-2-2016,3,0
35,4-2-2016,4,0
36,5-2-2016,5,0
37,6-2-2016,6,0
38,7-2-2016,7,0
39,8-2-2016,1,0
40,9-2-2016,2,0
41,10-2-2016,3,0
42,11-2-2016,4,1
43,12-2-2016,5,0
44,13-2-2016,6,0
45,14-2-2016,7,0
46,15-2-2016,1,0
47,16-2-2016,2,0
48,17-2-2016,3,0
49,18-2-2016,4,0
50,19-2-2016,5,0
51,20-2-2016,6,0
52,21-2-2016,7,0
53,22-2-2016,1,0
54,23-2-2016,2,0
55,24-2-2016,3,0
56,25-2-2016,4,0
57,26-2-2016,5,0
58,27-2-2016,6,0
59,28-2-2016,7,0
60,29-2-2016,1,0
61,1-3-2016,2,0
62,2-3-2016,3,0
63,3-3-2016,4,0
64,4-3-2016,5,0
65,5-3-2016,6,0
66,6-3-2016,7,0
67,7-3-2016,1,0
68,8-3-2016,2,0
69,9-3-2016,3,0
70,10-3-2016,4,0
71,11-3-2016,5,0
72,12-3-2016,6,0
73,13-3-2016,7,0
74,14-3-2016,1,0
75,15-3-2016,2,0
76,16-3-2016,3,0
77,17-3-2016,4,0
78,18-3-2016,5,0
79,19-3-2016,6,0
80,20-3-2016,7,1
81,21-3-2016,1,1
82,22-3-2016,2,0
83,23-3-2016,3,0
84,24-3-2016,4,0
85,25-3-2016,5,0
86,26-3-2016,6,0
87,27-3-2016,7,0
88,28-3-2016,1,0
89,29-3-2016,2,0
90,30-3-2016,3,0
91,31-3-2016,4,0
92,1-4-2016,5,0
93,2-4-2016,6,0
94,3-4-2016,7,0
95,4-4-2016,1,0
96,5-4-2016,2,0
97,6-4-2016,3,0
98,7-4-2016,4,0
99,8-4-2016,5,0
100,9-4-2016,6,0
101,10-4-2016,7,0
102,11-4-2016,1,0
103,12-4-2016,2,0
104,13-4-2016,3,0
105,14-4-2016,4,0
106,15-4-2016,5,0
107,16-4-2016,6,0
108,17-4-2016,7,0
109,18-4-2016,1,0
110,19-4-2016,2,0
111,20-4-2016,3,0
112,21-4-2016,4,0
113,22-4-2016,5,0
114,23-4-2016,6,0
115,24-4-2016,7,0
116,25-4-2016,1,0
117,26-4-2016,2,0
118,27-4-2016,3,0
119,28-4-2016,4,0
120,29-4-2016,5,1
121,30-4-2016,6,0
122,1-5-2016,7,0
123,2-5-2016,1,0
124,3-5-2016,2,1
125,4-5-2016,3,1
126,5-5-2016,4,1
127,6-5-2016,5,0
128,7-5-2016,6,0
129,8-5-2016,7,0
130,9-5-2016,1,0
131,10-5-2016,2,0
132,11-5-2016,3,0
133,12-5-2016,4,0
134,13-5-2016,5,0
135,14-5-2016,6,0
136,15-5-2016,7,0
137,16-5-2016,1,0
138,17-5-2016,2,0
139,18-5-2016,3,0
140,19-5-2016,4,0
141,20-5-2016,5,0
142,21-5-2016,6,0
143,22-5-2016,7,0
144,23-5-2016,1,0
145,24-5-2016,2,0
146,25-5-2016,3,0
147,26-5-2016,4,0
148,27-5-2016,5,0
149,28-5-2016,6,0
150,29-5-2016,7,0
151,30-5-2016,1,0
152,31-5-2016,2,0
153,1-6-2016,3,0
154,2-6-2016,4,0
155,3-6-2016,5,0
156,4-6-2016,6,0
157,5-6-2016,7,0
158,6-6-2016,1,0
159,7-6-2016,2,0
160,8-6-2016,3,0
161,9-6-2016,4,0
162,10-6-2016,5,0
163,11-6-2016,6,0
164,12-6-2016,7,0
165,13-6-2016,1,0
166,14-6-2016,2,0
167,15-6-2016,3,0
168,16-6-2016,4,0
169,17-6-2016,5,0
170,18-6-2016,6,0
171,19-6-2016,7,0
172,20-6-2016,1,0
173,21-6-2016,2,0
174,22-6-2016,3,0
175,23-6-2016,4,0
176,24-6-2016,5,0
177,25-6-2016,6,0
178,26-6-2016,7,0
179,27-6-2016,1,0
180,28-6-2016,2,0
181,29-6-2016,3,0
182,30-6-2016,4,0
183,1-7-2016,5,0
184,2-7-2016,6,0
185,3-7-2016,7,0
186,4-7-2016,1,0
187,5-7-2016,2,0
188,6-7-2016,3,0
189,7-7-2016,4,0
190,8-7-2016,5,0
191,9-7-2016,6,0
192,10-7-2016,7,0
193,11-7-2016,1,0
194,12-7-2016,2,0
195,13-7-2016,3,0
196,14-7-2016,4,0
197,15-7-2016,5,0
198,16-7-2016,6,0
199,17-7-2016,7,0
200,18-7-2016,1,1
201,19-7-2016,2,0
202,20-7-2016,3,0
203,21-7-2016,4,0
204,22-7-2016,5,0
205,23-7-2016,6,0
206,24-7-2016,7,0
207,25-7-2016,1,0
208,26-7-2016,2,0
209,27-7-2016,3,0
210,28-7-2016,4,0
211,29-7-2016,5,0
212,30-7-2016,6,0
213,31-7-2016,7,0
214,1-8-2016,1,0
215,2-8-2016,2,0
216,3-8-2016,3,0
217,4-8-2016,4,0
218,5-8-2016,5,0
219,6-8-2016,6,0
220,7-8-2016,7,0
221,8-8-2016,1,0
222,9-8-2016,2,0
223,10-8-2016,3,0
224,11-8-2016,4,1
225,12-8-2016,5,0
226,13-8-2016,6,1
227,14-8-2016,7,1
228,15-8-2016,1,1
229,16-8-2016,2,0
230,17-8-2016,3,0
231,18-8-2016,4,0
232,19-8-2016,5,0
233,20-8-2016,6,0
234,21-8-2016,7,0
235,22-8-2016,1,0
236,23-8-2016,2,0
237,24-8-2016,3,0
238,25-8-2016,4,0
239,26-8-2016,5,0
240,27-8-2016,6,0
241,28-8-2016,7,0
242,29-8-2016,1,0
243,30-8-2016,2,0
244,31-8-2016,3,0
245,1-9-2016,4,0
246,2-9-2016,5,0
247,3-9-2016,6,0
248,4-9-2016,7,0
249,5-9-2016,1,0
250,6-9-2016,2,0
251,7-9-2016,3,0
252,8-9-2016,4,0
253,9-9-2016,5,0
254,10-9-2016,6,0
255,11-9-2016,7,0
256,12-9-2016,1,0
257,13-9-2016,2,0
258,14-9-2016,3,0
259,15-9-2016,4,0
260,16-9-2016,5,0
261,17-9-2016,6,0
262,18-9-2016,7,0
263,19-9-2016,1,1
264,20-9-2016,2,0
265,21-9-2016,3,0
266,22-9-2016,4,1
267,23-9-2016,5,0
268,24-9-2016,6,0
269,25-9-2016,7,0
270,26-9-2016,1,0
271,27-9-2016,2,0
272,28-9-2016,3,0
273,29-9-2016,4,0
274,30-9-2016,5,0
275,1-10-2016,6,0
276,2-10-2016,7,0
277,3-10-2016,1,0
278,4-10-2016,2,0
279,5-10-2016,3,0
280,6-10-2016,4,0
281,7-10-2016,5,0
282,8-10-2016,6,0
283,9-10-2016,7,0
284,10-10-2016,1,1
285,11-10-2016,2,0
286,12-10-2016,3,0
287,13-10-2016,4,0
288,14-10-2016,5,0
289,15-10-2016,6,0
290,16-10-2016,7,0
291,17-10-2016,1,0
292,18-10-2016,2,0
293,19-10-2016,3,0
294,20-10-2016,4,0
295,21-10-2016,5,0
296,22-10-2016,6,0
297,23-10-2016,7,0
298,24-10-2016,1,0
299,25-10-2016,2,0
300,26-10-2016,3,0
301,27-10-2016,4,0
302,28-10-2016,5,0
303,29-10-2016,6,0
304,30-10-2016,7,0
305,31-10-2016,1,0
306,1-11-2016,2,0
307,2-11-2016,3,0
308,3-11-2016,4,1
309,4-11-2016,5,0
310,5-11-2016,6,0
311,6-11-2016,7,0
312,7-11-2016,1,0
313,8-11-2016,2,0
314,9-11-2016,3,0
315,10-11-2016,4,0
316,11-11-2016,5,0
317,12-11-2016,6,0
318,13-11-2016,7,0
319,14-11-2016,1,0
320,15-11-2016,2,0
321,16-11-2016,3,0
322,17-11-2016,4,0
323,18-11-2016,5,0
324,19-11-2016,6,0
325,20-11-2016,7,0
326,21-11-2016,1,0
327,22-11-2016,2,0
328,23-11-2016,3,1
329,24-11-2016,4,0
330,25-11-2016,5,0
331,26-11-2016,6,0
332,27-11-2016,7,0
333,28-11-2016,1,0
334,29-11-2016,2,0
335,30-11-2016,3,0
336,1-12-2016,4,0
337,2-12-2016,5,0
338,3-12-2016,6,0
339,4-12-2016,7,0
340,5-12-2016,1,0
341,6-12-2016,2,0
342,7-12-2016,3,0
343,8-12-2016,4,0
344,9-12-2016,5,0
345,10-12-2016,6,0
346,11-12-2016,7,0
347,12-12-2016,1,0
348,13-12-2016,2,0
349,14-12-2016,3,0
350,15-12-2016,4,0
351,16-12-2016,5,0
352,17-12-2016,6,0
353,18-12-2016,7,0
354,19-12-2016,1,0
355,20-12-2016,2,0
356,21-12-2016,3,0
357,22-12-2016,4,0
358,23-12-2016,5,1
359,24-12-2016,6,0
360,25-12-2016,7,0
361,26-12-2016,1,0
362,27-12-2016,2,0
363,28-12-2016,3,0
364,29-12-2016,4,1
365,30-12-2016,5,1
366,31-12-2016,6,1
367,1-1-2017,7,1
368,2-1-2017,1,1
369,3-1-2017,2,1
370,4-1-2017,3,0
371,5-1-2017,4,0
372,6-1-2017,5,0
373,7-1-2017,6,0
374,8-1-2017,7,0
375,9-1-2017,1,1
376,10-1-2017,2,0
377,11-1-2017,3,0
378,12-1-2017,4,0
379,13-1-2017,5,0
380,14-1-2017,6,0
381,15-1-2017,7,0
382,16-1-2017,1,0
383,17-1-2017,2,0
384,18-1-2017,3,0
385,19-1-2017,4,0
386,20-1-2017,5,0
387,21-1-2017,6,0
388,22-1-2017,7,0
389,23-1-2017,1,0
390,24-1-2017,2,0
391,25-1-2017,3,0
392,26-1-2017,4,0
393,27-1-2017,5,0
394,28-1-2017,6,0
395,29-1-2017,7,0
396,30-1-2017,1,0
397,31-1-2017,2,0
398,1-2-2017,3,0
399,2-2-2017,4,0
400,3-2-2017,5,0
401,4-2-2017,6,0
402,5-2-2017,7,0
403,6-2-2017,1,0
404,7-2-2017,2,0
405,8-2-2017,3,0
406,9-2-2017,4,0
407,10-2-2017,5,0
408,11-2-2017,6,1
409,12-2-2017,7,0
410,13-2-2017,1,0
411,14-2-2017,2,0
412,15-2-2017,3,0
413,16-2-2017,4,0
414,17-2-2017,5,0
415,18-2-2017,6,0
416,19-2-2017,7,0
417,20-2-2017,1,0
418,21-2-2017,2,0
419,22-2-2017,3,0
420,23-2-2017,4,0
421,24-2-2017,5,0
422,25-2-2017,6,0
423,26-2-2017,7,0
424,27-2-2017,1,0
425,28-2-2017,2,0
426,1-3-2017,3,0
427,2-3-2017,4,0
428,3-3-2017,5,0
429,4-3-2017,6,0
430,5-3-2017,7,0
431,6-3-2017,1,0
432,7-3-2017,2,0
433,8-3-2017,3,0
434,9-3-2017,4,0
435,10-3-2017,5,0
436,11-3-2017,6,0
437,12-3-2017,7,0
438,13-3-2017,1,0
439,14-3-2017,2,0
440,15-3-2017,3,0
441,16-3-2017,4,0
442,17-3-2017,5,0
443,18-3-2017,6,0
444,19-3-2017,7,0
445,20-3-2017,1,1
446,21-3-2017,2,0
447,22-3-2017,3,0
448,23-3-2017,4,0
449,24-3-2017,5,0
450,25-3-2017,6,0
451,26-3-2017,7,0
452,27-3-2017,1,0
453,28-3-2017,2,0
454,29-3-2017,3,0
455,30-3-2017,4,0
456,31-3-2017,5,0
457,1-4-2017,6,0
458,2-4-2017,7,0
459,3-4-2017,1,0
460,4-4-2017,2,0
461,5-4-2017,3,0
462,6-4-2017,4,0
463,7-4-2017,5,0
464,8-4-2017,6,0
465,9-4-2017,7,0
466,10-4-2017,1,0
467,11-4-2017,2,0
468,12-4-2017,3,0
469,13-4-2017,4,0
470,14-4-2017,5,0
471,15-4-2017,6,0
472,16-4-2017,7,0
473,17-4-2017,1,0
474,18-4-2017,2,0
475,19-4-2017,3,0
476,20-4-2017,4,0
477,21-4-2017,5,0
478,22-4-2017,6,0
479,23-4-2017,7,0
480,24-4-2017,1,0
481,25-4-2017,2,0
482,26-4-2017,3,0
483,27-4-2017,4,0
484,28-4-2017,5,0
485,29-4-2017,6,1
486,30-4-2017,7,0
487,1-5-2017,1,0
488,2-5-2017,2,0
489,3-5-2017,3,1
490,4-5-2017,4,1
491,5-5-2017,5,1
492,6-5-2017,6,0
493,7-5-2017,7,0
494,8-5-2017,1,0
495,9-5-2017,2,0
496,10-5-2017,3,0
497,11-5-2017,4,0
498,12-5-2017,5,0
499,13-5-2017,6,0
500,14-5-2017,7,0
501,15-5-2017,1,0
502,16-5-2017,2,0
503,17-5-2017,3,0
504,18-5-2017,4,0
505,19-5-2017,5,0
506,20-5-2017,6,0
507,21-5-2017,7,0
508,22-5-2017,1,0
509,23-5-2017,2,0
510,24-5-2017,3,0
511,25-5-2017,4,0
512,26-5-2017,5,0
513,27-5-2017,6,0
514,28-5-2017,7,0
515,29-5-2017,1,0
516,30-5-2017,2,0
517,31-5-2017,3,0
